eid,source,target,EdgeBetweennessCentrality
20984,1,7361,36558.
3780,1,27,24452.
9968,2,2249,3.360867e6
7447,3,9732,494500.
22016,3,8221,26386.
22264,3,2031,42672.
12400,4,9282,41461.
16071,4,3287,10496.
9161,5,3212,245475.
860,6,8,101985.
862,7,515,101126.
16902,8,9666,31485.
861,8,7,70328.
26848,9,10864,667435.
14975,9,10543,484571.
16914,10,7282,87990.
864,10,14,20151.
18855,11,9,68154.
7180,11,5946,12119.
22970,11,23,131677.
9955,12,6284,1.2055189e7
2642,13,7801,2.915411e6
214,13,2223,1.0862658e7
865,14,6,102157.
17268,15,16,506354.
3900,16,2082,506182.
19968,17,2161,93646.
7211,17,2154,112755.
11616,18,5578,348040.
12900,18,69,461077.
25708,18,10759,2833.
19922,19,1248,20841.
3896,19,4475,29049.
5532,20,1218,203614.
13936,20,1206,219.
5553,21,10460,10169.
21998,21,1180,128.
13944,21,1223,28.
9803,22,7377,318271.
21886,22,69,53222.
5270,22,10759,70.
7182,23,11,70038.
8844,23,10695,133084.
1388,25,10688,114535.
19826,25,26,186690.
805,26,10841,184554.
1400,26,25,111571.
3778,27,10922,24280.
18988,28,3506,817567.
1401,29,5472,421106.
24678,29,795,330687.
1572,30,299,1.248e6
14021,31,32,249070.
26340,31,7008,0.
14027,32,274,251231.
26338,32,31,2335.
21786,33,9729,174096.
2671,33,2948,178219.
16669,34,451,5.328438e6
2118,34,2629,5.479244e6
5907,35,450,76352.
13056,35,8606,479069.
23586,36,9064,23146.
6668,36,8993,7830.
8525,36,1251,20992.
6328,37,7638,4.743962e6
18861,37,3111,819177.
24290,38,83,62946.
9959,38,76,82552.
5414,39,7586,6.569415e6
5419,40,601,891672.
5418,41,5150,890984.
5408,43,55,115576.
10427,44,1879,13192.
24520,44,543,244306.
15096,45,2476,3.384177e6
3156,46,310,932299.
15093,47,3200,3.566177e6
15090,48,2480,3.383661e6
5413,49,43,115748.
1795,50,52,529622.
20010,50,102,482757.
5719,51,1714,456453.
19028,51,2116,445371.
5184,52,3937,452410.
7953,52,7025,665241.
8286,53,8879,7618.
26134,53,1215,16170.
5975,54,3249,4.663429e6
5421,55,3783,892016.
11825,56,3888,5.108388e6
3643,57,963,4.191492e6
12661,58,9811,31628.
3525,58,6062,66017.
20854,58,4623,52790.
4516,59,595,742328.
8687,59,4155,36802.
18838,60,1341,2.471925e6
10624,61,5095,220505.
272,63,2951,860557.
2757,63,1863,928380.
14852,64,5480,12443.
26770,64,4357,40713.
26824,64,4038,39956.
11064,65,6444,5887.
13442,65,308,17663.
3825,67,10683,10325.
9148,68,1849,219670.
5577,69,7913,458171.
25706,69,18,340040.
5272,69,22,4319.
26608,70,3130,1.377689e6
19238,71,329,1.586676e6
20838,71,9603,1.044655e6
142,71,5727,548197.
9962,72,269,273184.
5444,73,2537,66760.
11960,73,6313,40637.
24240,74,7145,10325.
3420,75,344,493885.
20788,75,338,160189.
9973,76,10450,92862.
24292,76,38,73430.
20784,77,338,529374.
18713,77,9287,137198.
6210,79,2019,31954.
4654,79,5566,8943.
18401,80,82,337000.
10602,80,5868,10590.
9940,81,282,3.423965e6
18403,82,88,89809.
18402,82,87,247019.
