eid,source,target,EdgeBetweennessCentrality
1890,1,29832,251987.
19889,1,30446,478846.
3927,3,4410,664321.
26730,3,4455,5.172007e6
95106,4,15064,6927.
11250,4,37366,1.109813e6
76560,4,6,1.219652e6
35089,4,38173,38227.
6157,5,31397,896319.
4024,5,29167,6.993602e6
76562,6,37800,1.088498e6
90574,6,27383,50542.
11252,6,4,1.131638e6
49069,6,35087,112535.
39720,7,31114,700139.
28626,8,29054,1.044948e6
28645,8,29055,393313.
9150,9,22655,675240.
9153,9,27927,100601.
63207,10,30536,141543.
102524,10,31200,206620.
33557,11,34337,37517.
46932,12,452,6.725899e6
58383,13,23114,5.1252838e7
30933,14,14367,1.75692381e8
12780,15,29615,1.5027232e7
55761,16,26637,4.648302e6
3423,16,20046,1.088977e6
58328,17,11911,7.0170333e7
57959,18,4864,2.6163268e7
16602,19,18,437890.
49162,19,7083,2.9571042e7
11584,20,28706,749876.
76734,20,7005,1.303115e6
60529,21,13602,522653.
46788,22,473,5.044638e6
94470,22,25075,5.361261e6
11588,23,30201,515807.
69408,23,30834,1.029811e6
96506,23,22982,734848.
49532,24,194,1.496054e6
37114,24,30790,1.607424e6
7368,25,7824,1.562551e6
5317,25,2602,318568.
18173,26,23744,37517.
46902,27,19339,922167.
27269,28,30,1.425872e6
34491,29,12650,75026.
97608,29,25332,6.
53232,29,30237,38809.
27262,30,29348,1.42458e6
67034,31,35050,9.962965e6
94478,32,26648,1.229345e6
3346,32,35330,11212.
46858,32,38195,1.414221e6
46900,33,24544,3.646007e6
57727,34,19828,7.8686976e7
55212,35,6138,47959.
99816,35,8484,84143.
18066,36,12690,255519.
36732,36,8567,78093.
44964,37,18448,579783.
11980,37,25163,91840.
8543,38,6280,172299.
36221,38,3250,79.
26183,38,3254,168716.
58349,39,17712,7.137749e7
44437,40,7136,234391.
93342,40,22405,176322.
36802,41,37981,2.7418525e7
46966,42,32835,2.249826e6
91412,43,38195,1.182723e6
101412,43,108,1.35966e6
33923,44,9608,173767.
11189,44,45,185883.
11191,45,56,3.196895e6
32052,46,26363,216732.
95152,46,2428,290668.
58477,46,34037,75129.
99848,46,8702,9971.
91462,47,21932,37517.
50716,48,19881,8.2113746e7
65881,49,17899,463943.
64538,49,54,1.690782e6
51738,50,12393,2.7474256e7
32374,51,13568,17507.
87414,51,11234,288.
69753,51,2371,134855.
105966,51,52,153913.
69755,52,51,115076.
78960,52,31188,148369.
47019,53,30091,1.817292e6
65887,54,13667,795430.
64539,54,31407,1.538225e6
55676,55,1336,1.33027972e8
33916,56,7616,45804.
