eid,source,target,dir,capacity,speed_mph,cost_time,btw
1654,1,4,1,1900,30,0.282750310805,495702.0
55247,1,1951,1,1900,30,0.286458869768,140718.5
45634,2,2848,1,950,20,1.1555374976700001,31136.0
1472,2,159,1,950,20,0.9259167799169999,8593.0
88457,2,141,1,950,20,0.541874025219,92674.0
57043,2,26437,1,950,20,0.941302498991,6964.0
4970,3,3281,1,1900,30,0.122924283263,1398360.0
4286,3,12477,1,1900,30,0.0151500180315,615555.0
59031,3,13502,1,1900,30,1.7123860468399998,66369.0
93623,4,162,1,1900,30,0.335457605242,550754.5
5299,4,5,1,1900,30,0.172790402757,2719043.0
52619,5,1948,1,1900,30,0.0670403824483,1461895.5
7019,5,13590,1,1900,30,0.311931420509,3195586.0
31208,5,182,1,1900,30,0.366840982552,132633.0
51848,6,233,1,5400,40,0.16997163428,4059891.0
89813,6,25986,1,1900,30,0.113144800573,244814.5
17884,6,26245,1,1900,30,0.250462915018,1038248.0
42782,7,1642,1,1900,30,0.0521331523106,1669529.0
50636,7,7119,1,1900,30,0.124463057066,1054753.0
1378,8,13253,1,1900,30,0.12115588522700001,927064.0
1293,8,22454,1,1900,30,0.0835497000052,52467.5
12175,9,2930,1,950,20,0.119493928782,57645.0
94447,9,1444,1,950,20,0.115973516835,41712.0
56517,10,21936,1,950,20,0.258559219923,26109.5
54044,11,20200,1,8100,40,0.105179624943,315697.5
34734,12,1756,1,1900,30,1.26257307536,559332.0
81085,12,22980,1,1900,30,0.0545802621297,56175.0
34673,12,2213,1,1900,30,0.06353539794719999,516410.0
46990,13,4521,1,5400,40,0.231024238892,1274896.0
46989,13,18812,1,1900,30,0.021967879889700004,478009.5
89395,13,38,1,1900,30,0.45318857908200005,764545.0
69023,14,10708,1,1900,30,0.0783778112363,1155399.5
17988,14,12572,1,950,20,0.052915638576,466.0
17948,14,9350,1,1900,30,2.19112238324,1192127.0
17033,15,82,1,1900,30,0.106401265234,4518103.5
33722,16,4809,1,8100,40,0.723437874478,1895247.0
26700,16,2150,1,6900,60,0.411800585677,2706506.0
50429,17,18,1,950,20,0.104150686037,87260.0
42178,17,19,1,5400,40,0.227056521732,2656410.0
50430,18,4536,1,950,20,0.458241818032,18805.0
55176,18,6169,1,5400,40,0.22859548397799997,482091.5
42179,19,32,1,5400,40,0.22789595218800002,2747741.5
42249,19,26301,1,1900,30,0.152501517746,3086135.0
92733,20,26491,1,950,20,0.40259291766500005,36881.5
51244,20,26300,1,950,20,0.537056372341,72551.0
74415,21,1452,1,1900,30,1.12669493857,267163.0
25536,21,2084,1,1900,30,1.11859124541,301018.5
59551,22,21297,1,1900,30,1.0322186585100002,271756.0
22329,22,15966,1,1900,30,0.0157123864951,223580.5
28099,23,7755,1,1900,30,0.019036119316900003,613624.0
76281,23,17813,1,1900,30,0.0996155166832,424204.5
76547,23,1935,1,1900,30,0.0882804890063,79435.0
22327,24,16359,1,1900,30,0.0197919765252,242921.5
92743,25,26330,1,5400,40,0.22039525103500002,1358585.0
5597,25,108,1,5400,40,0.0914211673412,2015622.0
5711,26,21820,1,6900,60,0.6729090253389999,4401840.0
51840,26,25213,1,8100,40,0.98046486317,1657456.0
47146,27,5640,1,1900,30,0.133189519343,22671.0
46870,27,10109,1,1900,30,0.09332031890289999,190414.5
44109,28,2908,1,8100,40,0.280388836441,1048963.5
72357,29,4636,1,950,20,1.61319284643,78830.0
80997,29,1508,1,1900,30,1.23223623191,41367.0
34617,29,25133,1,1900,30,0.575521338754,162531.5
2956,30,26440,1,1900,30,0.305455371714,1396567.5
55174,30,512,1,5400,40,0.22789490215799998,1215552.0
23544,31,25530,1,8100,40,0.230889188201,721068.0
10736,31,20835,1,6900,60,0.205930673444,1754423.0
2955,32,30,1,1900,30,0.06834879423330001,1637005.0
42180,32,111,1,5400,40,0.25073830747,2514216.0
48746,33,25736,1,1900,30,0.104415951854,1179257.0
25043,33,17010,1,8100,40,0.10278719139,46388.0
90521,33,20175,1,1900,30,0.036882285411400005,5646.0
79131,34,1534,1,1900,30,0.710640250929,660109.5
90557,34,3070,1,1900,30,0.769772353152,14956.0
51885,35,26487,1,8100,40,0.10328399008400001,527883.0
51383,36,20740,1,950,20,0.142466195613,65152.0
52197,36,3147,1,5400,40,0.261808179643,2170522.0
92333,36,4596,1,950,20,0.0463129869998,189410.0
9593,37,2900,1,6900,60,0.330189425606,1569493.0
10243,37,22900,1,8100,40,0.491148127659,150904.5
884,38,26473,1,1900,30,0.453859137034,157863.0
56591,38,25829,1,1900,30,0.09731370214530001,1568563.0
46993,38,13,1,1900,30,0.45318857908200005,449742.0
18653,39,6762,1,1900,30,0.147923561824,396333.0
69517,39,4883,1,1900,30,0.156110237432,354484.5
18704,39,4116,1,950,20,7.485872876619999,0.0
83843,40,11502,1,1900,30,0.32220051672899996,723547.0
65395,41,24044,1,1900,30,2.0004192407,3123.5
12938,41,17398,1,1900,30,3.7271912384099997,26522.0
12350,42,7280,1,6900,60,1.9728082879700002,14405713.0
33697,43,20043,1,1900,30,0.282419069313,2185443.0
92731,43,13005,1,1900,30,0.79833607612,1992141.0
92265,44,65,1,950,20,0.30351692997499996,19301.5
52473,44,21093,1,950,20,0.42881674793700003,9615.0
94493,45,26402,1,1900,30,0.508984249614,181191.5
45917,45,8909,1,1900,30,0.156517648056,80905.0
55038,45,47,1,1900,30,0.0683486257471,155990.0
21871,46,12240,1,1900,30,0.128709717424,284771.5
71821,46,11434,1,1900,30,0.9829167027210001,331210.0
78939,46,16602,1,1900,30,0.08554309395569999,45764.0
94561,47,45,1,1900,30,0.0683486257471,181205.0
23744,47,6670,1,1900,30,0.623148457479,153169.0
82837,48,18434,1,5400,40,0.267583487967,4172935.0
51777,48,52,1,5400,40,0.0802518046452,43230.0
82669,49,11873,1,950,20,2.25851734129,26109.5
73915,50,2160,1,950,20,0.59868434196,19150.5
53252,50,2581,1,950,20,1.3549609937399998,6960.0
48878,52,12834,1,5400,40,0.0257763602036,849698.5
28770,53,21720,1,950,20,3.28762725016,26110.0
50164,53,13597,1,5400,40,1.0347633724299998,1866912.0
91581,53,16981,1,5400,40,2.17566893346,1752179.5
18375,54,16650,1,5400,40,0.555195868872,1457820.0
355,54,23623,1,950,20,2.20217010682,1574.0
34427,55,11718,1,950,20,1.6366027812000001,28911.5
51298,56,1394,1,1900,30,0.762486647099,220203.5
62467,57,5206,1,1900,30,0.0665329166766,551010.0
9220,57,15142,1,1900,30,0.872908696631,631063.5
31333,58,18762,1,1900,30,0.20851041302700002,893327.0
31398,58,12034,1,1900,30,0.251200717541,685969.0
43345,59,24538,1,8100,40,0.09589871521150001,53246.5
25041,59,25251,1,8100,40,0.144986030347,19485.0
53199,60,6252,1,6900,60,0.0270554521256,26003690.0
23701,61,6113,1,950,20,1.0427778617499999,26499.0
23690,61,26010,1,950,20,0.618712742275,238745.0
73125,61,11894,1,950,20,2.7316129053900005,283146.5
52907,62,286,1,5400,40,0.0331433307443,6618116.0
47994,63,8392,1,1900,30,1.35360105475,591831.0
90123,63,17655,1,1900,30,0.25074209326200003,579078.5
87979,64,16944,1,5400,40,0.185515444607,236187.0
6995,64,25599,1,5400,40,0.147871352551,162837.0
51268,65,44,1,950,20,0.30351692997499996,26948.0
56035,65,4781,1,950,20,0.813817277378,42725.0
90777,66,26099,1,950,20,0.0642797327171,275167.0
49136,66,68,1,950,20,0.142414880401,17243.0
48481,66,5987,1,950,20,0.154740731412,144187.0
91009,66,26477,1,950,20,0.560777291519,425510.5
93661,67,26064,1,950,20,2.21462026379,79.0
53534,67,8858,1,950,20,0.030230147902599997,120027.5
50484,67,1571,1,5400,40,0.573324056685,2114654.0
90775,68,66,1,950,20,0.142414880401,196971.5
17027,69,175,1,1900,30,0.152955011241,152760.5
53929,69,191,1,950,20,1.22402755638,10146.0
53985,70,20200,1,5400,40,0.112935857017,101616.0
56209,71,89,1,1900,30,3.1831150958,19876.0
374,71,24586,1,1900,30,0.341403899785,209819.0
50029,71,24991,1,1900,30,1.1026901471100001,208569.5
47775,72,11801,1,1900,30,0.0549571810504,377102.5
67815,73,18429,1,1900,30,1.1153449300799998,96693.0
47622,73,23589,1,1900,30,0.148182710789,91245.5
28863,74,20801,1,6900,60,0.0190384683999,25319884.5
15227,75,24376,1,8100,40,0.0811069284351,133440.0
93721,76,1897,1,1900,30,1.21094300001,397222.0
29424,76,7972,1,1900,30,1.09093574165,379898.0
77223,76,1471,1,1900,30,0.0965678385743,655441.0
51620,77,5346,1,8100,40,0.187691831797,787864.0
52436,77,5318,1,8100,40,0.117260348497,1123310.5
5333,78,20786,1,1900,30,6.445859862030001,21783.0
74019,78,1884,1,1900,30,1.13062264844,185823.0
20855,78,20710,1,1900,30,2.43018713878,11125.0
59855,78,23831,1,1900,30,0.367246496525,218855.5
83141,79,25616,1,1900,30,0.29745414154800004,568214.0
35988,79,15087,1,1900,30,2.9650340661500003,616260.0
42073,80,9756,1,6900,60,0.39618325219000006,22487148.0
1573,81,7502,1,6900,60,0.127140703578,23701588.5
30426,82,8777,1,1900,30,0.500558451043,4335943.0
17034,82,4406,1,1900,30,0.106612949775,4179364.5
50727,83,1630,1,950,20,1.58026431184,26109.5
2464,84,2085,1,5400,40,0.0173987805746,123714.5
10699,84,11638,1,5400,40,0.19034031144299998,3777013.0
75427,85,7865,1,1900,30,0.80388843055,393764.0
26940,85,15116,1,1900,30,0.298645412446,98116.0
40744,87,21341,1,8100,40,0.183767252625,2103037.0
26646,87,103,1,8100,40,0.176352106295,800516.0
2747,88,25321,1,1900,30,0.0502220781958,360564.0
57961,88,23386,1,1900,30,3.13092576408,480561.5
73201,88,19118,1,950,20,0.08492721311889999,23078.0
49751,89,5358,1,1900,30,0.7846386532080001,211677.0
50801,89,3006,1,1900,30,0.11552001531400001,343294.0
376,89,71,1,1900,30,3.1831150958,13786.0
7957,90,25079,1,8100,40,0.483021985747,1421655.0
11656,90,10335,1,1900,30,0.41546204045999996,1441981.0
73983,91,10083,1,1900,30,1.3118152382100001,26109.5
53459,92,25512,1,8100,40,0.202548071618,3263492.5
43991,92,15555,1,6900,60,0.378380080617,70335833.0
