eid,source,target,dir,capacity,speed_mph,cost_time,btw
32052,1,13633,1,950,20,0.0753418382673,71108.0
14173,1,10990,1,950,20,0.0445992379422,1726774.0
16983,2,17495,1,6900,60,0.00521836066945,13170084.0
35175,3,10,1,1900,30,0.0482196251065,353.0
4751,3,3844,1,1900,30,0.021634654791799997,356122.0
41831,4,3307,1,950,20,1.14243985376,212358.0
46287,4,9852,1,950,20,0.685838532377,271173.0
29258,4,11366,1,950,20,0.650011128701,85024.0
42507,5,16731,1,950,20,1.8133320458900002,43461.0
19069,5,675,1,950,20,0.022302654349700003,55764.0
8073,6,11330,1,1900,30,0.21533384449,223363.0
43589,6,8990,1,1900,30,0.0732304138762,2093.0
46027,7,11401,1,950,20,0.7859569015440001,35776.0
26101,7,8547,1,950,20,0.342102817465,18163.0
30354,7,140,1,950,20,2.2980789558000003,0.0
13859,8,3545,1,5400,40,0.0290181037977,56849.0
13867,8,362,1,8100,40,0.43508058961900004,4185546.0
35147,9,18401,1,1900,30,0.0645118418161,638.0
4730,9,18397,1,1900,30,0.0179580863827,204782.0
6863,9,3745,1,8100,40,0.9351583124070001,411259.0
35157,10,18352,1,1900,30,0.04576433018630001,14567.0
4772,10,3,1,1900,30,0.0482196251065,312552.0
47181,10,14015,1,5400,40,2.25453799875,276499.0
35167,11,18368,1,1900,20,0.07178228703150001,107274.0
4750,11,4050,1,1900,30,0.279874468648,88944.0
35159,11,18387,1,1900,20,0.0690280382975,12.0
19041,12,2204,1,950,20,2.8713428636500002,93968.0
19047,12,7789,1,950,20,0.651617013685,75394.0
42497,12,9078,1,950,20,9.30581348716,125607.0
47831,13,2066,1,950,20,1.1763224142200002,8648.0
32518,13,17766,1,950,20,1.4964860552,17015.0
18919,14,12431,1,6900,60,0.718370995872,19039094.0
28113,15,6966,1,1900,30,0.0471867941501,609.0
34325,15,6965,1,1900,30,0.0548391287091,20528.0
28288,15,6958,1,1900,30,0.056122378659899996,67330.0
18847,16,3554,1,950,20,0.0192182742815,107274.0
9429,16,3669,1,950,20,2.14721525833,195.0
28390,17,12546,1,950,20,0.123237884191,82024.0
7647,17,8732,1,950,20,0.14738935715399998,32703.0
22841,18,10571,1,950,20,0.117060460347,758692.0
19140,18,5886,1,950,20,2.12930857293,214490.0
27998,19,13608,1,5400,40,0.032267227342699996,1809657.0
34841,19,6779,1,5400,40,0.0172577001409,17700.0
4169,19,84,1,5400,40,0.028261324775400002,1710.0
13088,20,14047,1,5400,40,0.0517386591286,5129903.0
10136,21,18409,1,950,20,0.8295525527009999,2627.0
10131,21,5757,1,950,20,0.10117641672000001,22067.0
13090,22,24,1,5400,40,0.05618183522000001,564441.0
13097,22,32,1,5400,40,0.143470482649,4964894.0
13091,24,10162,1,5400,40,0.0552829718515,980564.0
4760,25,37,1,1900,30,0.17012678575800003,17889.0
40939,26,27,1,950,20,0.080413157855,422344.0
30957,26,2501,1,950,20,0.263369950257,340118.0
35423,27,16633,1,950,20,4.74563286211,439280.0
16262,27,26,1,950,20,0.080413157855,357329.0
25303,28,3644,1,950,20,0.0393275673292,17854.0
45675,28,30,1,950,20,0.060185479150099995,18159.0
6690,29,12336,1,6900,60,0.48448921854099997,20588093.0
45677,30,3640,1,950,20,0.0450533482572,17848.0
23773,30,1233,1,950,20,0.10550359488,74.0
25297,30,28,1,950,20,0.060185479150099995,37.0
9149,31,9289,1,1900,30,0.246185731061,303693.0
17818,31,8930,1,8100,40,0.417104866485,168339.0
