eid,source,target,dir,capacity,speed_mph,cost_time,btw
20984,1,7361,1,950,20,0.579893983891,36558.0
3780,1,27,1,950,20,0.044808965291300004,24452.0
9968,2,2249,1,8100,40,0.43961554445100004,3360867.0
7447,3,9732,1,5400,40,0.08240516560200001,494500.0
22016,3,8221,1,1900,30,0.674298912167,26386.0
22264,3,2031,1,1900,30,0.0102699939856,42672.0
12400,4,9282,1,8100,40,0.0342707087105,41461.0
16071,4,3287,1,8100,40,0.0238006478244,10496.0
9161,5,3212,1,950,20,0.215656318195,245475.0
860,6,8,1,950,20,0.017363408266200003,101985.0
862,7,515,1,950,20,0.042122078067500006,101126.0
16902,8,9666,1,950,20,0.07076060738739999,31485.0
861,8,7,1,950,20,0.043593314451199995,70328.0
26848,9,10864,1,5400,40,0.11048386305600001,667435.0
14975,9,10543,1,5400,40,0.0669137991851,484571.0
16914,10,7282,1,950,20,0.0674808439204,87990.0
864,10,14,1,950,20,0.0387442754425,20151.0
18855,11,9,1,5400,40,0.25295812795899997,68154.0
7180,11,5946,1,1900,30,0.0126025627752,12119.0
22970,11,23,1,1900,30,1.9029458789900002,131677.0
9955,12,6284,1,6900,60,0.13169491294299998,12055189.0
2642,13,7801,1,8100,40,1.0793297892799998,2915411.0
214,13,2223,1,6900,60,0.270164497108,10862658.0
865,14,6,1,950,20,0.0154680364169,102157.0
17268,15,16,1,5400,40,0.0301874034963,506354.0
3900,16,2082,1,5400,40,0.00935406209707,506182.0
19968,17,2161,1,950,20,0.411074510991,93646.0
7211,17,2154,1,950,20,0.137607488276,112755.0
11616,18,5578,1,5400,40,0.0891134389481,348040.0
12900,18,69,1,5400,40,0.0107450508478,461077.0
25708,18,10759,1,5400,40,0.0176937851755,2833.0
19922,19,1248,1,950,20,0.833572173393,20841.0
3896,19,4475,1,950,20,0.049712705711699993,29049.0
5532,20,1218,1,1900,30,0.0588358687132,203614.0
13936,20,1206,1,1900,30,0.0930884238055,219.0
5553,21,10460,1,5400,40,0.177214738402,10169.0
21998,21,1180,1,5400,40,0.15907540861400002,128.0
13944,21,1223,1,1900,30,0.0141707164515,28.0
9803,22,7377,1,5400,40,0.8636956708779999,318271.0
21886,22,69,1,5400,40,0.0148081480596,53222.0
5270,22,10759,1,5400,40,0.019154064689900004,70.0
7182,23,11,1,1900,30,1.9029458789900002,70038.0
8844,23,10695,1,1900,30,0.058774990236599996,133084.0
1388,25,10688,1,5400,40,0.034774165015,114535.0
19826,25,26,1,5400,40,0.096946591954,186690.0
805,26,10841,1,5400,40,0.0556513275719,184554.0
1400,26,25,1,5400,40,0.096946591954,111571.0
3778,27,10922,1,950,20,0.0573511431983,24280.0
18988,28,3506,1,8100,40,0.743360636076,817567.0
1401,29,5472,1,5400,40,0.027150848666500003,421106.0
24678,29,795,1,5400,40,0.16936523974599998,330687.0
1572,30,299,1,8100,40,0.125159861036,1248000.0
14021,31,32,1,1900,30,0.0227965917085,249070.0
26340,31,7008,1,1900,30,0.07025459379530001,0.0
14027,32,274,1,1900,30,0.00864954783627,251231.0
26338,32,31,1,1900,30,0.0227965917085,2335.0
21786,33,9729,1,950,20,0.08803795655999999,174096.0
2671,33,2948,1,950,20,0.045674245438800005,178219.0
16669,34,451,1,5400,40,0.08908882981249999,5328438.0
2118,34,2629,1,5400,40,0.042123777291199996,5479244.0
5907,35,450,1,1900,30,0.29648953334,76352.0
13056,35,8606,1,5400,40,0.793197395233,479069.0
23586,36,9064,1,950,20,0.078890645805,23146.0
6668,36,8993,1,950,20,0.7698390941940001,7830.0
8525,36,1251,1,950,20,0.08862713353389999,20992.0
6328,37,7638,1,6900,60,0.310102548643,4743962.0
18861,37,3111,1,8100,40,0.346124718403,819177.0
24290,38,83,1,950,20,0.220332398413,62946.0
9959,38,76,1,950,20,0.191902921615,82552.0
5414,39,7586,1,5400,40,0.05808052633780001,6569415.0
5419,40,601,1,5400,40,0.163013780359,891672.0
5418,41,5150,1,5400,40,0.09335736435480001,890984.0
5408,43,55,1,5400,40,0.142018227291,115576.0
10427,44,1879,1,5400,40,0.024878854860299997,13192.0
24520,44,543,1,5400,40,0.00825333570797,244306.0
15096,45,2476,1,6900,60,0.0306990433163,3384177.0
3156,46,310,1,5400,40,0.12163642168199999,932299.0
15093,47,3200,1,6900,60,0.030508158952099997,3566177.0
15090,48,2480,1,6900,60,0.418832969972,3383661.0
5413,49,43,1,5400,40,0.057394437938900006,115748.0
1795,50,52,1,5400,40,0.0379109435492,529622.0
20010,50,102,1,5400,40,0.148763030526,482757.0
5719,51,1714,1,5400,40,0.0477919948724,456453.0
19028,51,2116,1,5400,40,0.05956921875540001,445371.0
5184,52,3937,1,950,20,0.028533980195299995,452410.0
7953,52,7025,1,5400,40,0.010538846440399999,665241.0
8286,53,8879,1,950,20,4.30400798745,7618.0
26134,53,1215,1,5400,40,2.50774501075,16170.0
5975,54,3249,1,8100,40,0.21510960703200002,4663429.0
5421,55,3783,1,5400,40,0.0289673335753,892016.0
11825,56,3888,1,6900,60,0.043367544270599995,5108388.0
3643,57,963,1,6900,60,0.6488989303630001,4191492.0
12661,58,9811,1,950,20,0.0790471137403,31628.0
3525,58,6062,1,950,20,1.42307395891,66017.0
20854,58,4623,1,950,20,0.0381154555846,52790.0
4516,59,595,1,5400,40,0.266630463696,742328.0
8687,59,4155,1,950,20,0.222585189273,36802.0
18838,60,1341,1,6900,60,0.0693510927698,2471925.0
10624,61,5095,1,950,20,0.08916144981339999,220505.0
272,63,2951,1,8100,40,0.131761701933,860557.0
2757,63,1863,1,8100,40,0.40976756110699997,928380.0
14852,64,5480,1,950,20,0.313316307062,12443.0
26770,64,4357,1,950,20,0.062141034837300005,40713.0
26824,64,4038,1,950,20,0.11413438752499999,39956.0
11064,65,6444,1,1900,30,0.3614696572300001,5887.0
13442,65,308,1,1900,30,0.276613271363,17663.0
3825,67,10683,1,950,20,1.7611348468099999,10325.0
9148,68,1849,1,950,20,0.0750361850729,219670.0
5577,69,7913,1,5400,40,0.53496035866,458171.0
25706,69,18,1,5400,40,0.0107450508478,340040.0
5272,69,22,1,5400,40,0.0148081480596,4319.0
26608,70,3130,1,1900,30,0.0633767337355,1377689.0
19238,71,329,1,950,20,1.0715617160700002,1586676.0
20838,71,9603,1,950,20,1.72740474384,1044655.0
142,71,5727,1,950,20,2.3170895786,548197.0
9962,72,269,1,8100,40,0.420943474244,273184.0
5444,73,2537,1,1900,30,0.0319181110159,66760.0
11960,73,6313,1,1900,30,1.29961173997,40637.0
24240,74,7145,1,1900,30,8.80980830651,10325.0
3420,75,344,1,950,20,0.0770534973922,493885.0
20788,75,338,1,5400,40,0.0132511583669,160189.0
9973,76,10450,1,950,20,0.0843686626882,92862.0
24292,76,38,1,950,20,0.191902921615,73430.0
20784,77,338,1,5400,40,0.0101782259321,529374.0
18713,77,9287,1,5400,40,0.133227463299,137198.0
6210,79,2019,1,950,20,0.0891638254912,31954.0
4654,79,5566,1,950,20,2.5783066045700003,8943.0
18401,80,82,1,8100,40,0.0857345373406,337000.0
10602,80,5868,1,950,20,0.040758629476699997,10590.0
9940,81,282,1,8100,40,0.0778666351194,3423965.0
18403,82,88,1,8100,40,0.229561493983,89809.0
18402,82,87,1,8100,40,0.534448237437,247019.0
27554,83,1173,1,950,20,0.52485418077,52460.0
9957,83,38,1,950,20,0.220332398413,72240.0
16820,84,728,1,950,20,0.0469280073585,111240.0
27896,84,10546,1,950,20,0.20218174954799997,139602.0
7276,85,946,1,8100,40,0.259928454914,865032.0
3430,86,89,1,5400,40,0.0717305772167,1374463.0
20496,86,3654,1,5400,40,0.5503869345269999,1300743.0
17299,87,10490,1,6900,60,0.013948565590000002,3758032.0
15184,88,404,1,6900,60,0.689669751987,3460105.0
20794,89,86,1,5400,40,0.0717305772167,1293577.0
12999,89,4366,1,5400,40,0.553070700901,1367126.0
23578,90,1633,1,1900,30,0.099499759705,31485.0
8559,90,6590,1,1900,30,0.15282515374800001,41288.0
27816,92,8917,1,950,20,0.315925627712,37906.0
27818,92,5215,1,950,20,0.144013068152,27553.0
18574,93,9198,1,6900,60,0.012342667378499999,1609542.0
23062,94,5489,1,5400,40,0.0095350212775,87463.0
7476,94,5531,1,5400,40,0.0412945943995,92961.0
18203,94,9009,1,5400,40,0.241867132324,177845.0
15163,95,96,1,8100,40,0.0853535339489,452991.0
10599,96,8256,1,950,20,0.11260031203700001,463237.0
18407,97,3012,1,6900,60,0.19133887517200002,3757688.0
9738,98,5689,1,5400,40,0.0839610963238,1202472.0
24946,98,6238,1,5400,40,0.117003944185,1058907.0
11325,99,1200,1,1900,30,1.98742852969,20992.0
28906,99,6987,1,1900,30,2.39199659472,3162.0
24992,99,8959,1,1900,30,1.34641866778,27807.0
15955,100,3898,1,1900,30,0.159948219703,301810.0
11624,101,9297,1,950,20,0.575313775945,812196.0
1793,102,50,1,5400,40,0.148763030526,520190.0
24740,102,7594,1,5400,40,1.05643027864,482275.0
18777,102,130,1,950,20,0.261046919138,10935.0
279,103,1508,1,5400,40,0.013010982005100001,213278.0
5335,104,1845,1,1900,30,0.406933619031,72233.0
16731,104,150,1,1900,30,0.516666130768,62952.0
10515,105,8096,1,1900,30,0.057873499575500004,191066.0
29036,105,3354,1,1900,30,0.031410760824599995,30880.0
7599,106,6800,1,6900,60,0.081799978568,536907.0
11323,106,1966,1,8100,40,0.42423723865699997,166207.0
6367,107,5500,1,6900,60,0.0348494424912,6682893.0
12895,108,2742,1,5400,40,0.07210516575130001,964362.0
12191,108,8815,1,5400,40,0.0229613612354,343485.0
1396,109,10716,1,950,20,0.0883827287582,61835.0
26502,109,6261,1,950,20,1.3476751885499998,41703.0
28844,110,9480,1,5400,40,0.009517483584940001,17844.0
18658,110,8929,1,5400,40,0.0118719320087,206300.0
27076,110,2844,1,5400,40,0.787566401249,212612.0
3917,111,6835,1,1900,30,0.10061943054300002,10325.0
11890,112,10672,1,1900,30,0.225865554925,521448.0
11887,113,8770,1,1900,30,0.0699935801195,542609.0
19554,114,9944,1,1900,30,1.40574556864,51605.0
2779,114,116,1,1900,30,0.105048617619,41976.0
13477,115,6924,1,1900,30,0.144673652557,180605.0
26050,115,5132,1,1900,30,1.06248789879,101329.0
8211,116,3920,1,1900,30,0.0109288655066,31485.0
20492,116,114,1,1900,30,0.105048617619,41288.0
26578,117,506,1,950,20,0.6817608545980001,20759.0
14445,117,118,1,950,20,0.0619151379882,10972.0
16027,118,5027,1,950,20,4.42857679579,730.0
26576,118,117,1,950,20,0.0619151379882,10690.0
14631,119,1892,1,5400,40,0.0343880500806,47784.0
26640,119,4421,1,5400,40,1.1227933925700002,159586.0
14629,119,3590,1,950,20,0.09218013386889999,0.0
1420,120,1210,1,950,20,1.66221502118,33606.0
29042,120,7356,1,950,20,3.3435129024299997,35884.0
2445,121,5073,1,5400,40,0.181380425296,739029.0
27936,122,10584,1,1900,30,1.1443617252399998,20736.0
16992,122,2876,1,1900,30,0.07787619747489999,34392.0
5177,123,439,1,1900,20,0.08285180208260001,26654.0
23766,123,517,1,5400,40,0.132242734011,104692.0
8951,123,10767,1,5400,40,0.041936313568400004,240664.0
7080,124,1973,1,6900,60,0.08091084010960001,765341.0
13908,125,9612,1,5400,40,0.029615093320400004,3401572.0
9939,126,30,1,8100,40,0.6251528017360001,1065606.0
14653,127,1569,1,5400,40,0.041865423427599996,371212.0
1939,127,5733,1,1900,30,0.262365712561,2092.0
17987,128,10426,1,1900,30,0.353949792624,48411.0
18395,129,9173,1,5400,40,0.175411336252,103160.0
28712,129,1838,1,5400,40,0.23685154219700003,94401.0
23296,130,9883,1,1900,30,0.046221926010099994,301893.0
